model,combos,dev_r2_mean,dev_r2_std,test_r2_mean,test_r2_std,dev_rmse_mean,test_rmse_mean,best_epoch_median
mobile,90,-0.32355175555555554,0.5229547796997949,-0.5267790111111111,0.5728470721279866,4.5932059,4.9055288,23.0
resnet,90,0.06319846666666666,0.3064849650603956,-0.4430597666666667,0.6193815609757023,3.8892689999999996,4.742341022222222,8.0
squeeze,90,0.03004052222222222,0.2723580644327943,-0.29765007777777774,0.5348064430081376,3.9798372444444445,4.523579533333334,18.5
