model,epochs,dev_r2_mean,test_r2_mean
mobile,2880,-1.2548724291666666,-1.2337725885416666
resnet,2880,-0.5215049638888889,-0.5331826444444444
squeeze,2880,-0.275344615625,-0.2681829291666667
