model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
resnet,6,7,4,0.143803,-0.561164,4.576204,4.093482,2.965379,3.13165,16.839465,20.941648,16.756594
resnet,6,8,5,0.075431,-0.016971,4.767123,3.877126,3.327583,3.486954,12.495538,22.725466,15.032104
resnet,6,9,9,0.257156,-1.345333,4.020439,6.256016,3.136571,5.104385,4.448209,16.163932,39.137741
resnet,7,0,2,-0.074923,-1.049821,3.169487,6.591251,2.487834,4.81545,19.242237,10.04565,43.44459
resnet,7,1,2,-0.146584,0.062029,3.544928,3.498227,3.294444,2.598704,25.208031,12.566517,12.237591
resnet,7,2,4,-0.039867,-0.142099,3.224066,4.627083,2.68227,3.09784,19.259157,10.394604,21.409896
resnet,7,3,2,0.016245,-0.669532,3.373738,4.583553,3.092782,3.882441,26.126528,11.382108,21.008955
resnet,7,4,12,-0.232688,-0.152129,3.5809,4.366578,3.022774,3.290509,1.945959,12.822845,19.067006
resnet,7,5,2,-0.082493,0.024715,3.403674,4.471285,2.92908,2.878994,19.796474,11.584999,19.992387
resnet,7,6,2,-0.028903,-0.372766,3.359693,4.699663,3.129164,3.036266,25.449182,11.287534,22.086834
resnet,7,8,2,-0.144849,0.034563,3.437162,3.778581,2.727376,3.521374,20.023702,11.814084,14.277674
resnet,7,9,2,-0.070183,-1.473674,3.536484,6.557209,3.138136,5.048406,20.075652,12.506718,42.996986
resnet,8,0,26,0.090331,-0.435786,3.6746,5.744618,3.201747,3.94238,0.865727,13.502683,33.00064
resnet,8,1,12,0.160893,-0.051203,3.548886,3.720926,3.110718,3.30148,2.190117,12.594593,13.84529
resnet,8,2,29,0.220758,0.122552,3.399221,3.868605,2.875501,2.808394,0.623925,11.554703,14.966103
resnet,8,3,3,0.077096,-0.44123,3.648165,4.193746,3.240424,3.605149,21.954361,13.30911,17.58751
resnet,8,4,25,0.082409,-0.298139,3.735004,4.637767,3.213766,3.506272,1.131798,13.950256,21.508884
resnet,8,5,24,0.114894,-0.159821,3.646285,4.86452,3.127072,3.421124,0.94757,13.295395,23.663558
resnet,8,6,23,0.306305,-0.125872,3.162863,4.641291,2.625031,3.248701,1.13195,10.003705,21.541581
resnet,8,7,25,0.384502,-1.061647,3.05969,4.659368,2.512021,3.578303,0.880703,9.361703,21.709708
resnet,8,9,16,0.294046,-2.065316,3.15429,7.553069,2.616136,6.254148,1.129098,9.949543,57.048847
resnet,9,0,29,-0.726483,-0.38101,5.189933,5.54506,3.886615,3.444522,0.935771,26.935406,30.747693
resnet,9,1,10,-0.425396,-0.823754,5.154502,4.783557,4.154904,4.278696,3.512271,26.568886,22.882415
